Improper Storage of Trash (Barrels),Missed Trash/Recycling/Yard Waste/Bulk Item,Needle Pickup,Parking Enforcement,Recycling Cart Return,Request for Pothole Repair,Request for Recycling Cart,Requests for Street Cleaning,Schedule a Bulk Item Pickup,Sign Repair,Street Light Outages,Unshoveled Sidewalk
920,921,752,3382,917,2110,1331,1374,837,628,741,854
876,577,651,3237,337,1804,636,1334,633,539,576,2
864,741,791,2515,224,1125,506,1261,691,585,376,2
776,945,1447,212,353,710,1028,889,432,300,1
1002,1006,1363,2258,750,523,1165,1338,1292,357,256,1
1015,1189,1492,2635,768,688,858,1748,1539,415,292
1055,1075,1748,3211,488,631,600,1718,1483,480,382,1
1591,1089,1886,3828,519,471,556,2018,1432,359,445
1310,1028,1655,4474,336,377,636,1852,1476,437,536
928,999,1167,4461,200,376,466,1452,1294,469,626,6
817,1181,911,3584,293,483,360,1305,1069,398,615,1
958,1068,746,3204,351,516,347,1696,890,421,689,1479
